ID;TITLE;LINK
6593;"History of Tom Jones, a Foundling by Henry Fielding (1357)";https://www.gutenberg.org/ebooks/6593
4085;"The Adventures of Roderick Random by T.  Smollett (1344)";https://www.gutenberg.org/ebooks/4085
5197;"My Life — Volume 1 by Richard Wagner (1321)";https://www.gutenberg.org/ebooks/5197
1259;"Twenty years after by Alexandre Dumas and Auguste Maquet (1294)";https://www.gutenberg.org/ebooks/1259
174;"The Picture of Dorian Gray by Oscar Wilde (1280)";https://www.gutenberg.org/ebooks/174
2055;"Two Years Before the Mast by Richard Henry Dana (1243)";https://www.gutenberg.org/ebooks/2055
844;"The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde (1199)";https://www.gutenberg.org/ebooks/844
64317;"The Great Gatsby by F. Scott  Fitzgerald (1158)";https://www.gutenberg.org/ebooks/64317
43;"The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson (1118)";https://www.gutenberg.org/ebooks/43
2554;"Crime and Punishment by Fyodor Dostoyevsky (1056)";https://www.gutenberg.org/ebooks/2554
1260;"Jane Eyre: An Autobiography by Charlotte Brontë (974)";https://www.gutenberg.org/ebooks/1260
5200;"Metamorphosis by Franz Kafka (971)";https://www.gutenberg.org/ebooks/5200
76;"Adventures of Huckleberry Finn by Mark Twain (915)";https://www.gutenberg.org/ebooks/76
345;"Dracula by Bram Stoker (914)";https://www.gutenberg.org/ebooks/345
1080;"A Modest Proposal by Jonathan Swift (897)";https://www.gutenberg.org/ebooks/1080
98;"A Tale of Two Cities by Charles Dickens (827)";https://www.gutenberg.org/ebooks/98
1952;"The Yellow Wallpaper by Charlotte Perkins Gilman (754)";https://www.gutenberg.org/ebooks/1952
1400;"Great Expectations by Charles Dickens (720)";https://www.gutenberg.org/ebooks/1400
1232;"The Prince by Niccolò Machiavelli (689)";https://www.gutenberg.org/ebooks/1232
4300;"Ulysses by James Joyce (679)";https://www.gutenberg.org/ebooks/4300
3207;"Leviathan by Thomas Hobbes (674)";https://www.gutenberg.org/ebooks/3207
1661;"The Adventures of Sherlock Holmes by Arthur Conan Doyle (664)";https://www.gutenberg.org/ebooks/1661
74799;"Adobe days : by Sarah Bixby-Smith (645)";https://www.gutenberg.org/ebooks/74799
74800;"L'Auvergne by Jean Ajalbert (645)";https://www.gutenberg.org/ebooks/74800
55;"The Wonderful Wizard of Oz by L. Frank  Baum (638)";https://www.gutenberg.org/ebooks/55
28054;"The Brothers Karamazov by Fyodor Dostoyevsky (628)";https://www.gutenberg.org/ebooks/28054
1998;"Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche (628)";https://www.gutenberg.org/ebooks/1998
74796;"Viola's vanity : by Mrs. Alex. McVeigh Miller (627)";https://www.gutenberg.org/ebooks/74796
50150;"The Devil is an Ass by Ben Jonson (610)";https://www.gutenberg.org/ebooks/50150
2000;"Don Quijote by Miguel de Cervantes Saavedra (584)";https://www.gutenberg.org/ebooks/2000
2600;"War and Peace by graf Leo Tolstoy (583)";https://www.gutenberg.org/ebooks/2600
45;"Anne of Green Gables by L. M.  Montgomery (578)";https://www.gutenberg.org/ebooks/45
2650;"Du côté de chez Swann by Marcel Proust (573)";https://www.gutenberg.org/ebooks/2650
74798;"Tolerance by Hendrik Willem Van Loon (563)";https://www.gutenberg.org/ebooks/74798
2591;"Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm (554)";https://www.gutenberg.org/ebooks/2591
74802;"Shells by Ella Wheeler Wilcox (541)";https://www.gutenberg.org/ebooks/74802
7370;"Second Treatise of Government by John Locke (533)";https://www.gutenberg.org/ebooks/7370
408;"The Souls of Black Folk by W. E. B.  Du Bois (532)";https://www.gutenberg.org/ebooks/408
1184;"The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet (510)";https://www.gutenberg.org/ebooks/1184
768;"Wuthering Heights by Emily Brontë (509)";https://www.gutenberg.org/ebooks/768
35899;"The Philippines a Century Hence by José Rizal (506)";https://www.gutenberg.org/ebooks/35899
4363;"Beyond Good and Evil by Friedrich Wilhelm Nietzsche (505)";https://www.gutenberg.org/ebooks/4363
135;"Les Misérables by Victor Hugo (498)";https://www.gutenberg.org/ebooks/135
5740;"Tractatus Logico-Philosophicus by Ludwig Wittgenstein (496)";https://www.gutenberg.org/ebooks/5740
6130;"The Iliad by Homer (495)";https://www.gutenberg.org/ebooks/6130
74;"The Adventures of Tom Sawyer, Complete by Mark Twain (495)";https://www.gutenberg.org/ebooks/74
44392;"The Arts and Crafts of Older Spain, Volume 2 (of 3) by Leonard Williams (493)";https://www.gutenberg.org/ebooks/44392
41;"The Legend of Sleepy Hollow by Washington Irving (482)";https://www.gutenberg.org/ebooks/41
205;"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau (482)";https://www.gutenberg.org/ebooks/205
2814;"Dubliners by James Joyce (481)";https://www.gutenberg.org/ebooks/2814
3296;"The Confessions of St. Augustine by Bishop of Hippo Saint Augustine (464)";https://www.gutenberg.org/ebooks/3296
8492;"The King in Yellow by Robert W.  Chambers (464)";https://www.gutenberg.org/ebooks/8492
16119;"Doctrina Christiana (459)";https://www.gutenberg.org/ebooks/16119
219;"Heart of Darkness by Joseph Conrad (452)";https://www.gutenberg.org/ebooks/219
24022;"A Christmas Carol by Charles Dickens (436)";https://www.gutenberg.org/ebooks/24022
244;"A Study in Scarlet by Arthur Conan Doyle (428)";https://www.gutenberg.org/ebooks/244
1727;"The Odyssey by Homer (427)";https://www.gutenberg.org/ebooks/1727
1497;"The Republic by Plato (424)";https://www.gutenberg.org/ebooks/1497
36034;"White Nights and Other Stories by Fyodor Dostoyevsky (424)";https://www.gutenberg.org/ebooks/36034
44391;"The Arts and Crafts of Older Spain, Volume 1 (of 3) by Leonard Williams (423)";https://www.gutenberg.org/ebooks/44391
996;"Don Quixote by Miguel de Cervantes Saavedra (403)";https://www.gutenberg.org/ebooks/996
34901;"On Liberty by John Stuart Mill (393)";https://www.gutenberg.org/ebooks/34901
514;"Little Women by Louisa May Alcott (391)";https://www.gutenberg.org/ebooks/514
2852;"The Hound of the Baskervilles by Arthur Conan Doyle (388)";https://www.gutenberg.org/ebooks/2852
2680;"Meditations by Emperor of Rome Marcus Aurelius (388)";https://www.gutenberg.org/ebooks/2680
8800;"The divine comedy by Dante Alighieri (385)";https://www.gutenberg.org/ebooks/8800
779;"The Tragical History of Doctor Faustus by Christopher Marlowe (383)";https://www.gutenberg.org/ebooks/779
43627;"Strange Stories from a Chinese Studio, Vol. 1 (of 2) by Songling Pu (382)";https://www.gutenberg.org/ebooks/43627
27761;"Hamlet, Prince of Denmark by William Shakespeare (382)";https://www.gutenberg.org/ebooks/27761
16328;"Beowulf: An Anglo-Saxon Epic Poem (375)";https://www.gutenberg.org/ebooks/16328
30254;"The Romance of Lust: A classic Victorian erotic novel by Anonymous (369)";https://www.gutenberg.org/ebooks/30254
33283;"Calculus Made Easy by Silvanus P.  Thompson (369)";https://www.gutenberg.org/ebooks/33283
10676;"The Reign of Greed by José Rizal (367)";https://www.gutenberg.org/ebooks/10676
10615;"An Essay Concerning Humane Understanding, Volume 1 by John Locke (364)";https://www.gutenberg.org/ebooks/10615
1251;"Le Morte d'Arthur: Volume 1 by Sir Thomas Malory (359)";https://www.gutenberg.org/ebooks/1251
27104;"歸蓮夢 by active 18th century Su'anzhuren (359)";https://www.gutenberg.org/ebooks/27104
27827;"The Kama Sutra of Vatsyayana by Vatsyayana (358)";https://www.gutenberg.org/ebooks/27827
74793;"What happened to Tad by Mary E.  Ropes (358)";https://www.gutenberg.org/ebooks/74793
31552;"Novo dicionário da língua portuguesa by Cândido de Figueiredo (356)";https://www.gutenberg.org/ebooks/31552
67098;"Winnie-the-Pooh by A. A.  Milne (350)";https://www.gutenberg.org/ebooks/67098
52319;"The Genealogy of Morals by Friedrich Wilhelm Nietzsche (342)";https://www.gutenberg.org/ebooks/52319
10623;"Plays by Susan Glaspell (340)";https://www.gutenberg.org/ebooks/10623
19942;"Candide by Voltaire (330)";https://www.gutenberg.org/ebooks/19942
10007;"Carmilla by Joseph Sheridan Le Fanu (330)";https://www.gutenberg.org/ebooks/10007
730;"Oliver Twist by Charles Dickens (329)";https://www.gutenberg.org/ebooks/730
158;"Emma by Jane Austen (328)";https://www.gutenberg.org/ebooks/158
2148;"The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe (325)";https://www.gutenberg.org/ebooks/2148
31284;"Josefine Mutzenbacher by Felix Salten (323)";https://www.gutenberg.org/ebooks/31284
23;"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass (323)";https://www.gutenberg.org/ebooks/23
16;"Peter Pan by J. M.  Barrie (316)";https://www.gutenberg.org/ebooks/16
829;"Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift (311)";https://www.gutenberg.org/ebooks/829
5827;"The Problems of Philosophy by Bertrand Russell (303)";https://www.gutenberg.org/ebooks/5827
8438;"The Ethics of Aristotle by Aristotle (300)";https://www.gutenberg.org/ebooks/8438
4280;"The Critique of Pure Reason by Immanuel Kant (296)";https://www.gutenberg.org/ebooks/4280
17489;"Les misérables Tome I: Fantine by Victor Hugo (295)";https://www.gutenberg.org/ebooks/17489
72890;"The eternal moment, and other stories by E. M.  Forster (293)";https://www.gutenberg.org/ebooks/72890
15399;"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African by Equiano (289)";https://www.gutenberg.org/ebooks/15399
105;"Persuasion by Jane Austen (288)";https://www.gutenberg.org/ebooks/105
600;"Notes from the Underground by Fyodor Dostoyevsky (286)";https://www.gutenberg.org/ebooks/600
120;"Treasure Island by Robert Louis Stevenson (284)";https://www.gutenberg.org/ebooks/120
398;"The First Book of Adam and Eve by Rutherford Hayes Platt (277)";https://www.gutenberg.org/ebooks/398
7700;"Lysistrata by Aristophanes (275)";https://www.gutenberg.org/ebooks/7700
11030;"Incidents in the Life of a Slave Girl, Written by Herself by Harriet A.  Jacobs (273)";https://www.gutenberg.org/ebooks/11030
1399;"Anna Karenina by graf Leo Tolstoy (270)";https://www.gutenberg.org/ebooks/1399
43628;"Strange Stories from a Chinese Studio, Vol. 2 (of 2) by Songling Pu (269)";https://www.gutenberg.org/ebooks/43628
22381;"Myths and Legends of Ancient Greece and Rome by E. M. Berens (268)";https://www.gutenberg.org/ebooks/22381
41445;"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (267)";https://www.gutenberg.org/ebooks/41445
42324;"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (267)";https://www.gutenberg.org/ebooks/42324
19337;"A Christmas Carol by Charles Dickens (266)";https://www.gutenberg.org/ebooks/19337
3825;"Pygmalion by Bernard Shaw (266)";https://www.gutenberg.org/ebooks/3825
36;"The War of the Worlds by H. G.  Wells (265)";https://www.gutenberg.org/ebooks/36
4217;"A Portrait of the Artist as a Young Man by James Joyce (265)";https://www.gutenberg.org/ebooks/4217
3600;"Essays of Michel de Montaigne — Complete by Michel de Montaigne (263)";https://www.gutenberg.org/ebooks/3600
58585;"The Prophet by Kahlil Gibran (263)";https://www.gutenberg.org/ebooks/58585
20228;"Noli Me Tangere by José Rizal (252)";https://www.gutenberg.org/ebooks/20228
786;"Hard Times by Charles Dickens (252)";https://www.gutenberg.org/ebooks/786
40739;"Die Traumdeutung by Sigmund Freud (250)";https://www.gutenberg.org/ebooks/40739
21765;"The Metamorphoses of Ovid, Books I-VII by Ovid (245)";https://www.gutenberg.org/ebooks/21765
35;"The Time Machine by H. G.  Wells (245)";https://www.gutenberg.org/ebooks/35
12;"Through the Looking-Glass by Lewis Carroll (245)";https://www.gutenberg.org/ebooks/12
2848;"Antiquities of the Jews by Flavius Josephus (243)";https://www.gutenberg.org/ebooks/2848
26;"Paradise Lost by John Milton (241)";https://www.gutenberg.org/ebooks/26
161;"Sense and Sensibility by Jane Austen (239)";https://www.gutenberg.org/ebooks/161
521;"The Life and Adventures of Robinson Crusoe by Daniel Defoe (239)";https://www.gutenberg.org/ebooks/521
69087;"The murder of Roger Ackroyd by Agatha Christie (237)";https://www.gutenberg.org/ebooks/69087
7142;"The History of the Peloponnesian War by Thucydides (237)";https://www.gutenberg.org/ebooks/7142
15272;"Spenser's The Faerie Queene, Book I by Edmund Spenser (236)";https://www.gutenberg.org/ebooks/15272
1228;"On the Origin of Species By Means of Natural Selection by Charles Darwin (234)";https://www.gutenberg.org/ebooks/1228
43453;"A Pickle for the Knowing Ones by Timothy Dexter (232)";https://www.gutenberg.org/ebooks/43453
12116;"Struwwelpeter: Merry Stories and Funny Pictures by Heinrich Hoffmann (231)";https://www.gutenberg.org/ebooks/12116
4517;"Ethan Frome by Edith Wharton (231)";https://www.gutenberg.org/ebooks/4517
132;"The Art of War by active 6th century B.C. Sunzi (231)";https://www.gutenberg.org/ebooks/132
766;"David Copperfield by Charles Dickens (230)";https://www.gutenberg.org/ebooks/766
3300;"An Inquiry into the Nature and Causes of the Wealth of Nations by Adam Smith (230)";https://www.gutenberg.org/ebooks/3300
2413;"Madame Bovary by Gustave Flaubert (227)";https://www.gutenberg.org/ebooks/2413
203;"Uncle Tom's Cabin by Harriet Beecher Stowe (222)";https://www.gutenberg.org/ebooks/203
10;"The King James Version of the Bible (216)";https://www.gutenberg.org/ebooks/10
17450;"The Part Borne by the Dutch in the Discovery of Australia 1606-1765 by J. E.  Heeres (215)";https://www.gutenberg.org/ebooks/17450
1524;"Hamlet, Prince of Denmark by William Shakespeare (214)";https://www.gutenberg.org/ebooks/1524
15474;"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1 (213)";https://www.gutenberg.org/ebooks/15474
1533;"Macbeth by William Shakespeare (211)";https://www.gutenberg.org/ebooks/1533
14591;"Faust [part 1]. Translated Into English in the Original Metres by Johann Wolfgang von Goethe (211)";https://www.gutenberg.org/ebooks/14591
5131;"Childe Harold's Pilgrimage by Baron George Gordon Byron Byron (210)";https://www.gutenberg.org/ebooks/5131
27673;"Oedipus King of Thebes by Sophocles (207)";https://www.gutenberg.org/ebooks/27673
70891;"Notre-Dame de Paris - Tome 1 by Victor Hugo (202)";https://www.gutenberg.org/ebooks/70891
72679;"The lesser Key of Solomon, Goetia, the book of evil spirits : (201)";https://www.gutenberg.org/ebooks/72679
3800;"Ethics by Benedictus de Spinoza (199)";https://www.gutenberg.org/ebooks/3800
25305;"Memoirs of Fanny Hill by John Cleland (198)";https://www.gutenberg.org/ebooks/25305
994;"Riders to the Sea by J. M.  Synge (196)";https://www.gutenberg.org/ebooks/994
20203;"Autobiography of Benjamin Franklin by Benjamin Franklin (195)";https://www.gutenberg.org/ebooks/20203
17396;"The Secret Garden by Frances Hodgson Burnett (195)";https://www.gutenberg.org/ebooks/17396
27683;"The World I Live In by Helen Keller (195)";https://www.gutenberg.org/ebooks/27683
160;"The Awakening, and Selected Short Stories by Kate Chopin (194)";https://www.gutenberg.org/ebooks/160
209;"The Turn of the Screw by Henry James (190)";https://www.gutenberg.org/ebooks/209
815;"Democracy in America — Volume 1 by Alexis de Tocqueville (190)";https://www.gutenberg.org/ebooks/815
37134;"The Elements of Style by William Strunk (190)";https://www.gutenberg.org/ebooks/37134
1837;"The Prince and the Pauper by Mark Twain (190)";https://www.gutenberg.org/ebooks/1837
21700;"Don Juan by Baron George Gordon Byron Byron (187)";https://www.gutenberg.org/ebooks/21700
51356;"The Birth of Tragedy; or, Hellenism and Pessimism by Friedrich Wilhelm Nietzsche (186)";https://www.gutenberg.org/ebooks/51356
18269;"Pascal's Pensées by Blaise Pascal (186)";https://www.gutenberg.org/ebooks/18269
215;"The call of the wild by Jack London (185)";https://www.gutenberg.org/ebooks/215
74797;"Maison-Rougen ritari by Alexandre Dumas (185)";https://www.gutenberg.org/ebooks/74797
61;"The Communist Manifesto by Friedrich Engels and Karl Marx (184)";https://www.gutenberg.org/ebooks/61
1600;"Symposium by Plato (183)";https://www.gutenberg.org/ebooks/1600
7256;"The Gift of the Magi by O. Henry (183)";https://www.gutenberg.org/ebooks/7256
2638;"The Idiot by Fyodor Dostoyevsky (182)";https://www.gutenberg.org/ebooks/2638
23042;"The Tempest by William Shakespeare (182)";https://www.gutenberg.org/ebooks/23042
29270;"The Story of the Great War, Volume 2 (182)";https://www.gutenberg.org/ebooks/29270
21279;"2 B R 0 2 B by Kurt Vonnegut (181)";https://www.gutenberg.org/ebooks/21279
164;"Twenty Thousand Leagues under the Sea by Jules Verne (180)";https://www.gutenberg.org/ebooks/164
6737;"The Social Cancer: A Complete English Version of Noli Me Tangere by José Rizal (180)";https://www.gutenberg.org/ebooks/6737
29728;"Cookery and Dining in Imperial Rome by Apicius (179)";https://www.gutenberg.org/ebooks/29728
49965;"Dao De Jing: A Minimalist Translation by Laozi (178)";https://www.gutenberg.org/ebooks/49965
1404;"The Federalist Papers by Alexander Hamilton and John Jay and James Madison (177)";https://www.gutenberg.org/ebooks/1404
45315;"The Marriage of Heaven and Hell by William Blake (177)";https://www.gutenberg.org/ebooks/45315
1514;"A Midsummer Night's Dream by William Shakespeare (177)";https://www.gutenberg.org/ebooks/1514
50285;"Dr. Mabuse, der Spieler by Norbert Jacques (175)";https://www.gutenberg.org/ebooks/50285
1946;"On War by Carl von Clausewitz (175)";https://www.gutenberg.org/ebooks/1946
110;"Tess of the d'Urbervilles: A Pure Woman by Thomas Hardy (173)";https://www.gutenberg.org/ebooks/110
1322;"Leaves of Grass by Walt Whitman (171)";https://www.gutenberg.org/ebooks/1322
58221;"La Odisea by Homer (169)";https://www.gutenberg.org/ebooks/58221
9662;"An Enquiry Concerning Human Understanding by David Hume (169)";https://www.gutenberg.org/ebooks/9662
22367;"Die Verwandlung by Franz Kafka (168)";https://www.gutenberg.org/ebooks/22367
52263;"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist by Nietzsche (167)";https://www.gutenberg.org/ebooks/52263
308;"Three Men in a Boat (To Say Nothing of the Dog) by Jerome K.  Jerome (167)";https://www.gutenberg.org/ebooks/308
1467;"Some Christmas Stories by Charles Dickens (167)";https://www.gutenberg.org/ebooks/1467
14568;"Sir Gawayne and the Green Knight (166)";https://www.gutenberg.org/ebooks/14568
9800;"The Rape of the Lock, and Other Poems by Alexander Pope (166)";https://www.gutenberg.org/ebooks/9800
2232;"The Duchess of Malfi by John Webster (166)";https://www.gutenberg.org/ebooks/2232
14838;"The Tale of Peter Rabbit by Beatrix Potter (165)";https://www.gutenberg.org/ebooks/14838
55317;"The Meditations of the Emperor Marcus Aurelius Antoninus by Emperor of Rome Marcus Aurelius (165)";https://www.gutenberg.org/ebooks/55317
47629;"Ang "Filibusterismo" (Karugtóng ng Noli Me Tangere) by José Rizal (165)";https://www.gutenberg.org/ebooks/47629
16527;"1001 задача для умственного счета by Sergei Aleksandrovich Rachinskii (164)";https://www.gutenberg.org/ebooks/16527
1636;"Phaedrus by Plato (164)";https://www.gutenberg.org/ebooks/1636
236;"The Jungle Book by Rudyard Kipling (163)";https://www.gutenberg.org/ebooks/236
1754;"The Sea-Gull by Anton Pavlovich Chekhov (161)";https://www.gutenberg.org/ebooks/1754
74803;"Hirmuhallitus by Alexandre Dumas (161)";https://www.gutenberg.org/ebooks/74803
1250;"Anthem by Ayn Rand (161)";https://www.gutenberg.org/ebooks/1250
30201;"In Praise of Folly by Desiderius Erasmus (161)";https://www.gutenberg.org/ebooks/30201
103;"Around the World in Eighty Days by Jules Verne (160)";https://www.gutenberg.org/ebooks/103
11231;"Bartleby, the Scrivener: A Story of Wall-Street by Herman Melville (159)";https://www.gutenberg.org/ebooks/11231
24869;"The Rámáyan of Válmíki, translated into English verse by Valmiki (159)";https://www.gutenberg.org/ebooks/24869
25717;"The History of the Decline and Fall of the Roman Empire by Edward Gibbon (159)";https://www.gutenberg.org/ebooks/25717
2527;"The Sorrows of Young Werther by Johann Wolfgang von Goethe (158)";https://www.gutenberg.org/ebooks/2527
3176;"The Innocents Abroad by Mark Twain (157)";https://www.gutenberg.org/ebooks/3176
4093;"Hedda Gabler by Henrik Ibsen (157)";https://www.gutenberg.org/ebooks/4093
18600;"Mi Ultimo Adiós by José Rizal (155)";https://www.gutenberg.org/ebooks/18600
13415;"The Lady with the Dog and Other Stories by Anton Pavlovich Chekhov (154)";https://www.gutenberg.org/ebooks/13415
31516;"The Eyes Have It by Philip K. Dick (154)";https://www.gutenberg.org/ebooks/31516
1001;"Divine Comedy, Longfellow's Translation, Hell by Dante Alighieri (153)";https://www.gutenberg.org/ebooks/1001
46167;"British Royal Proclamations Relating to America, 1603-1783 by Great Britain. Sovereign (153)";https://www.gutenberg.org/ebooks/46167
3328;"Man and Superman: A Comedy and a Philosophy by Bernard Shaw (153)";https://www.gutenberg.org/ebooks/3328
45631;"Twelve Years a Slave by Solomon Northup (153)";https://www.gutenberg.org/ebooks/45631
2388;"The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata) (152)";https://www.gutenberg.org/ebooks/2388
1934;"Songs of Innocence and of Experience by William Blake (151)";https://www.gutenberg.org/ebooks/1934
1023;"Bleak House by Charles Dickens (151)";https://www.gutenberg.org/ebooks/1023
2097;"The Sign of the Four by Arthur Conan Doyle (151)";https://www.gutenberg.org/ebooks/2097
14328;"The Consolation of Philosophy by Boethius (150)";https://www.gutenberg.org/ebooks/14328
58725;"Quickie by Stephen Marlowe (150)";https://www.gutenberg.org/ebooks/58725
17989;"Le comte de Monte-Cristo, Tome I by Alexandre Dumas and Auguste Maquet (150)";https://www.gutenberg.org/ebooks/17989
6400;"The Lives of the Twelve Caesars, Complete by Suetonius (149)";https://www.gutenberg.org/ebooks/6400
141;"Mansfield Park by Jane Austen (149)";https://www.gutenberg.org/ebooks/141
121;"Northanger Abbey by Jane Austen (148)";https://www.gutenberg.org/ebooks/121
50922;"Perpetual Peace: A Philosophical Essay by Immanuel Kant (148)";https://www.gutenberg.org/ebooks/50922
541;"The Age of Innocence by Edith Wharton (148)";https://www.gutenberg.org/ebooks/541
20738;"Diccionario Ingles-Español-Tagalog by Sofronio G. Calderón (147)";https://www.gutenberg.org/ebooks/20738
38269;"A History of the Philippines by David P. Barrows (146)";https://www.gutenberg.org/ebooks/38269
8578;"The Grand Inquisitor by Fyodor Dostoyevsky (145)";https://www.gutenberg.org/ebooks/8578
5230;"The Invisible Man: A Grotesque Romance by H. G.  Wells (145)";https://www.gutenberg.org/ebooks/5230
16966;"Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth by A. C.  Bradley (145)";https://www.gutenberg.org/ebooks/16966
59;"Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences (144)";https://www.gutenberg.org/ebooks/59
74791;"Round Robin by Abbie Farwell Brown (144)";https://www.gutenberg.org/ebooks/74791
71865;"Mrs. Dalloway by Virginia Woolf (144)";https://www.gutenberg.org/ebooks/71865
550;"Silas Marner by George Eliot (142)";https://www.gutenberg.org/ebooks/550
140;"The Jungle by Upton Sinclair (141)";https://www.gutenberg.org/ebooks/140
921;"De Profundis by Oscar Wilde (141)";https://www.gutenberg.org/ebooks/921
13951;"Les trois mousquetaires by Alexandre Dumas and Auguste Maquet (141)";https://www.gutenberg.org/ebooks/13951
910;"White Fang by Jack London (141)";https://www.gutenberg.org/ebooks/910
902;"The Happy Prince, and Other Tales by Oscar Wilde (140)";https://www.gutenberg.org/ebooks/902
8710;"The Doré Bible Gallery, Complete (140)";https://www.gutenberg.org/ebooks/8710
43936;"The Wonderful Wizard of Oz by L. Frank  Baum (139)";https://www.gutenberg.org/ebooks/43936
74801;"Rapport sur une mission botanique exécutée en 1884 dans le nord, le sud et l'ouest de la Tunisie (139)";https://www.gutenberg.org/ebooks/74801
29145;"The Best of the World's Classics, Restricted to Prose, Vol. X (of X) - America - II, Index (138)";https://www.gutenberg.org/ebooks/29145
27942;"A System of Logic, Ratiocinative and Inductive by John Stuart Mill (138)";https://www.gutenberg.org/ebooks/27942
19322;"The Antichrist by Friedrich Wilhelm Nietzsche (138)";https://www.gutenberg.org/ebooks/19322
46333;"The Social Contract & Discourses by Jean-Jacques Rousseau (138)";https://www.gutenberg.org/ebooks/46333
696;"The Castle of Otranto by Horace Walpole (137)";https://www.gutenberg.org/ebooks/696
2500;"Siddhartha by Hermann Hesse (137)";https://www.gutenberg.org/ebooks/2500
3090;"Complete Original Short Stories of Guy De Maupassant by Guy de Maupassant (136)";https://www.gutenberg.org/ebooks/3090
55201;"The Republic of Plato by Plato (135)";https://www.gutenberg.org/ebooks/55201
12242;"Poems by Emily Dickinson, Three Series, Complete by Emily Dickinson (134)";https://www.gutenberg.org/ebooks/12242
1974;"The Poetics of Aristotle by Aristotle (134)";https://www.gutenberg.org/ebooks/1974
11870;"The Country of the Blind, and Other Stories by H. G.  Wells (133)";https://www.gutenberg.org/ebooks/11870
45502;"How the Other Half Lives: Studies Among the Tenements of New York by Jacob A.  Riis (133)";https://www.gutenberg.org/ebooks/45502
7849;"The Trial by Franz Kafka (133)";https://www.gutenberg.org/ebooks/7849
4705;"A Treatise of Human Nature by David Hume (132)";https://www.gutenberg.org/ebooks/4705
1057;"Poems, with The Ballad of Reading Gaol by Oscar Wilde (132)";https://www.gutenberg.org/ebooks/1057
2911;"Justice by John Galsworthy (132)";https://www.gutenberg.org/ebooks/2911
10636;"The Travels of Marco Polo — Volume 1 by Marco Polo and da Pisa Rusticiano (132)";https://www.gutenberg.org/ebooks/10636
11339;"Aesop's Fables; a new translation by Aesop (131)";https://www.gutenberg.org/ebooks/11339
6087;"The Vampyre; a Tale by John William Polidori (131)";https://www.gutenberg.org/ebooks/6087
2781;"Just so stories by Rudyard Kipling (130)";https://www.gutenberg.org/ebooks/2781
2397;"The Story of My Life by Helen Keller (129)";https://www.gutenberg.org/ebooks/2397
